***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
*    89280 *        0 *     89280 * 8.1407985 * 1040.7016 *
*    89392 *        0 *     89392 * 7.8258495 * 874.50959 *
*    89870 *        0 *     89870 * 7.0773371 * 1351.6977 *
*    90156 *        0 *     90156 * 4.6607894 * 1175.8080 *
*    90468 *        0 *     90468 * 25.425361 * 2130.3779 *
*    90657 *        0 *     90657 * 7.8707866 * 1950.6819 *
*    90858 *        0 *     90858 * 6.0993775 * 1202.7966 *
*    90881 *        0 *     90881 * 5.1562067 * 605.61537 *
*    90984 *        0 *     90984 * 6.7516799 * 501.21188 *
*    91336 *        0 *     91336 * 4.7034753 * 1385.2881 *
*    91451 *        0 *     91451 * 9.1987946 * 914.76550 *
*    91507 *        0 *     91507 * 22.189188 * 1723.3102 *
*    91892 *        0 *     91892 * 37.936545 * 3539.5007 *
*    92187 *        0 *     92187 * 5.5239144 * 878.67964 *
*    92506 *        0 *     92506 * 8.4793239 * 1219.1401 *
*    92817 *        0 *     92817 * 5.9690493 * 786.90284 *
*    93267 *        0 *     93267 * 32.034390 * 2030.1698 *
*    93386 *        0 *     93386 * 10.253754 * 495.23219 *
*    93424 *        0 *     93424 * 4.8725082 * 761.80020 *
*    93511 *        0 *     93511 * 18.832369 * 1861.3650 *
*    93674 *        0 *     93674 * 12.683527 * 1153.9334 *
*    93814 *        0 *     93814 * 8.8182723 * 1950.9469 *
*    93982 *        0 *     93982 * 2.8191560 * 445.00146 *
*    94367 *        0 *     94367 * 6.0184490 * 2120.7387 *
*    94516 *        0 *     94516 * 8.6707191 * 474.13469 *
*    94846 *        0 *     94846 * 15.133897 * 1837.2824 *
*    94969 *        0 *     94969 * 5.0561583 * 1535.8998 *
*    95250 *        0 *     95250 * 19.601094 * 1915.0188 *
*    95384 *        0 *     95384 * 21.382480 * 2067.1979 *
*    95420 *        0 *     95420 * 18.815260 * 1289.2097 *
*    95469 *        0 *     95469 * 27.266564 * 1726.5616 *
*    95613 *        0 *     95613 * 10.293333 * 849.01220 *
*    95668 *        0 *     95668 * 8.2466410 * 1130.3320 *
